Category,SubCategory,Indicator,Year,Geography,Geo_Group,Geo_ID,Number,Percent
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,44-Chatham,44,2868,19.0970835
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,45-Avalon Park,45,1042,24.18755803
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,46-South Chicago,46,2779,22.06080813
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,47-Burnside,47,189,18.36734694
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,48-Calumet Heights,48,911,14.44655883
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,49-Roseland,49,4821,25.95004844
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,50-Pullman,50,696,20.26200873
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,51-South Deering,51,1605,25.38753559
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,52-East Side,52,2052,18.26435247
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,53-West Pullman,53,3570,24.88151659
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,54-Riverdale,54,951,36.93203883
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,55-Hegewisch,55,289,6.347463211
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,56-Garfield Ridge,56,1813,10.06271854
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,57-Archer Heights,57,663,9.874888293
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,58-Brighton Park,58,2397,11.53512993
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,59-McKinley Park,59,1009,12.47527201
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,60-Bridgeport,60,1797,9.927079881
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,61-New City,61,3923,20.91708878
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,62-West Elsdon,62,1200,12.45717845
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,63-Gage Park,63,3031,15.55395905
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,64-Clearing,64,1355,10.05342039
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,65-West Lawn,65,2230,13.35169441
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,66-Chicago Lawn,66,5657,21.85013519
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,67-West Englewood,67,4326,33.64442371
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,68-Englewood,68,3585,35.32367721
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,69-Greater Grand Crossing,69,3428,23.8768545
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,70-Ashburn,70,2869,12.76415892
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,71-Auburn Gresham,71,4876,23.59659311
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,72-Beverly,72,714,6.570955273
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,73-Washington Heights,73,2440,18.63591232
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,74-Mount Greenwood,74,433,4.433749744
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,75-Morgan Park,75,1535,11.22650479
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,76-O'Hare,76,928,7.998620927
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,77-Edgewater,77,2366,6.949421371
